expression_id,line
idle_a,……くだらない真似を。
idle_a,こんなことをして、ただで済むと思っているの？
idle_a,時間の無駄よ。さっさと終わらせなさい。
idle_b,……見ないで。
idle_b,そんなに見つめないでちょうだい……。
idle_b,……っ、趣味が悪いわね……。
idle_c,ぁ……っ、まだ、何も……。
idle_c,……計算が、狂う……。
idle_c,くっ……この程度で、動じないわ……。
idle_d,ねえ……もっと構ってくれないの……？
idle_d,そんなに冷たくしないで……。
idle_d,……お願い、こっちを見て。
touch_a,痛っ……やめなさい……。
touch_a,そんなに強くしないで……!
touch_a,……っ、加減を知りなさい……。
touch_b,や……そこ、だめ……。
touch_b,……くすぐったいと言っているのに……。
touch_b,そんな触り方、ずるいわ……。
touch_c,あっ……ん……。
touch_c,そこ、気持ち、いい……。
touch_c,……もっと、優しく……。
touch_d,あぁっ……だめ、それ……!
touch_d,……思考が、まとまらない……。
touch_d,そんな……いいところばかり……!
climax,あああっ……!!
climax,だめ……もう、イッてしまう……!
climax,……っ、ひぐっ……!
despair,……もう、いい……。
despair,……どうして、こんなことに……。
despair,……お願い、もう許して……。
exhausted,……もう、動けないわ……。
exhausted,……はぁ……はぁ……。
exhausted,……もう、十分でしょう……。
