expression_id,line
idle_a,……いい加減にしなさい。
idle_a,こんなことをして、ただで済むと思うな。
idle_a,目障りだ。さっさと終わらせろ。
idle_b,……見るな。
idle_b,そんなに見つめるな……。
idle_b,……っ、恥を知れ……。
idle_c,ぁ……っ、まだ、何も……。
idle_c,……身体が、勝手に……。
idle_c,くっ……声を、出すものか……。
idle_d,ねえ……もっと構ってくれないの……？
idle_d,そんなに冷たくしないで……。
idle_d,……お願い、こっちを見て。
touch_a,痛っ……やめろ……。
touch_a,そんなに強くするな……!
touch_a,……っ、痛い……。
touch_b,や……そこ、だめ……。
touch_b,……くすぐったい、と言っている……。
touch_b,そんな触り方、卑怯だぞ……。
touch_c,あっ……ん……。
touch_c,そこ、気持ち、いい……。
touch_c,……もっと、優しく……。
touch_d,あぁっ……だめ、それ……!
touch_d,……頭が、おかしくなりそう……。
touch_d,そんな……いいところばかり……!
kiss,……っ、口を、塞ぐな……。
kiss,ん……っ、こんなことまで……。
kiss,……くっ、卑怯だぞ、こんな……。
climax,あああっ……!!
climax,だめ……もう、イッてしまう……!
climax,……っ、ひぐっ……!
despair,……もう、いい……。
despair,……どうして、こんな……。
despair,……もう、許してくれ……。
exhausted,……もう、動けない……。
exhausted,……はぁ……はぁ……。
exhausted,……もう、十分だろう……。
